DateTime,CPU_Idle(%),Memory_Used(KB),Memory_Free(KB)
2024-09-10 23:44:10,89,7180796,38652
2024-09-10 23:44:12,90,7180796,38660
2024-09-10 23:44:14,89,7181300,38660
2024-09-10 23:44:16,89,7181300,38668
2024-09-10 23:44:18,89,7181048,38668
2024-09-10 23:44:20,89,7181048,38668
2024-09-10 23:44:22,88,7181048,38676
2024-09-10 23:44:24,89,7181048,38676
2024-09-10 23:44:26,89,7181804,38684
2024-09-10 23:44:28,90,7182056,38684
2024-09-10 23:44:30,90,7182308,38684
2024-09-10 23:44:32,89,7182056,38692
2024-09-10 23:44:34,89,7181552,38692
2024-09-10 23:44:36,90,7180824,38700
2024-09-10 23:44:38,90,7180824,38700
2024-09-10 23:44:40,88,7180824,38700
2024-09-10 23:44:42,90,7180824,38708
2024-09-10 23:44:44,90,7180972,38708
2024-09-10 23:44:46,92,7181328,38716
2024-09-10 23:44:49,90,7181832,38716
2024-09-10 23:44:51,89,7181328,38716
2024-09-10 23:44:53,89,7181328,38724
2024-09-10 23:44:55,89,7181592,38724
2024-09-10 23:44:57,83,7181592,38732
2024-09-10 23:44:59,87,7182348,38732
2024-09-10 23:45:01,84,7182748,38740
2024-09-10 23:45:03,84,7182852,38740
2024-09-10 23:45:05,87,7183356,38740
2024-09-10 23:45:07,89,7183356,38748
2024-09-10 23:45:09,87,7183356,38748
2024-09-10 23:45:11,87,7183104,38756
2024-09-10 23:45:13,89,7183104,38756
2024-09-10 23:45:15,90,7182852,38756
2024-09-10 23:45:17,89,7182852,38764
2024-09-10 23:45:19,88,7182600,38764
2024-09-10 23:45:21,89,7182600,38764
2024-09-10 23:45:23,89,7182600,38772
2024-09-10 23:45:25,89,7182348,38772
2024-09-10 23:45:27,88,7182628,38780
2024-09-10 23:45:29,89,7182628,38780
2024-09-10 23:45:31,89,7182880,38780
2024-09-10 23:45:33,88,7182880,38788
2024-09-10 23:45:35,86,7182628,38788
2024-09-10 23:45:37,88,7182376,38796
2024-09-10 23:45:39,88,7182376,38796
2024-09-10 23:45:41,88,7182376,38796
2024-09-10 23:45:43,88,7182124,38804
2024-09-10 23:45:45,86,7182628,38804
2024-09-10 23:45:47,91,7182880,38804
2024-09-10 23:45:49,87,7183132,38812
2024-09-10 23:45:51,90,7183888,38812
2024-09-10 23:45:54,90,7183888,38820
2024-09-10 23:45:56,89,7183636,38820
2024-09-10 23:45:58,88,7183636,38820
2024-09-10 23:46:00,90,7183636,38828
2024-09-10 23:46:02,89,7183384,38828
2024-09-10 23:46:04,89,7183132,38836
2024-09-10 23:46:06,90,7182880,38836
2024-09-10 23:46:08,89,7182628,38836
2024-09-10 23:46:10,90,7182376,38844
2024-09-10 23:46:12,89,7182376,38844
2024-09-10 23:46:14,89,7182376,38844
2024-09-10 23:46:16,89,7182376,38852
2024-09-10 23:46:18,89,7182376,38852
2024-09-10 23:46:20,88,7182376,38860
2024-09-10 23:46:22,89,7182376,38860
2024-09-10 23:46:24,88,7182376,38860
2024-09-10 23:46:26,89,7182124,38868
2024-09-10 23:46:28,88,7181872,38868
2024-09-10 23:46:30,87,7181872,38876
2024-09-10 23:46:32,89,7181872,38876
2024-09-10 23:46:34,89,7181900,38876
2024-09-10 23:46:36,89,7182180,38884
2024-09-10 23:46:38,89,7181704,38884
2024-09-10 23:46:40,88,7181452,38884
2024-09-10 23:46:42,87,7181452,38892
2024-09-10 23:46:44,89,7181452,38892
2024-09-10 23:46:46,88,7181452,38900
2024-09-10 23:46:48,86,7181452,38900
2024-09-10 23:46:50,89,7181452,38900
2024-09-10 23:46:52,89,7181452,38908
2024-09-10 23:46:54,86,7181452,38908
2024-09-10 23:46:56,90,7181452,38908
2024-09-10 23:46:59,88,7181452,38916
2024-09-10 23:47:01,89,7181956,38916
2024-09-10 23:47:03,89,7181956,38924
2024-09-10 23:47:05,93,7181956,38924
2024-09-10 23:47:07,88,7181704,38924
2024-09-10 23:47:09,88,7181704,38932
2024-09-10 23:47:11,90,7181704,38932
